2019-11-22 16:45:45 INFO  Report:11 - Exiting method::clickOnElement() with 'true"
2019-11-22 16:45:45 INFO  Report:11 - Exiting method::clickOnSearchButton() with 'true"
2019-11-22 16:45:45 INFO  Report:11 - Entering method::deleteCookies()
2019-11-22 16:45:51 INFO  Report:11 - Exiting method::deleteCookies() with 'true"
2019-11-22 16:45:51 INFO  Report:11 - Entering method::closeBrowser()
2019-11-22 16:45:54 INFO  Report:11 - Exiting method::closeBrowser() with 'true"
2019-11-22 16:45:54 INFO  Report:11 - Entering method::quitDriver()
2019-11-22 16:45:55 INFO  Report:11 - Exiting method::quitDriver() with 'true"
2019-11-22 16:45:56 INFO  Report:11 - -------shouldThrowAnErrorIfSignInDetailsAreMissing-------
2019-11-22 16:46:02 INFO  Report:11 - -------shouldThrowAnErrorIfSignInDetailsAreMissing-------
2019-11-22 16:46:02 INFO  Report:11 - Entering method::openUrl()
2019-11-22 16:46:10 INFO  Report:11 - Exiting method::openUrl() with 'true"
2019-11-22 16:46:10 INFO  Report:11 - Entering method::clickOnYourTripsLink()
2019-11-22 16:46:10 INFO  Report:11 - Entering method::clickOnElement()
2019-11-22 16:46:11 INFO  Report:11 - Exiting method::clickOnElement() with 'true"
2019-11-22 16:46:11 INFO  Report:11 - Exiting method::clickOnYourTripsLink() with 'true"
2019-11-22 16:46:11 INFO  Report:11 - Entering method::clickOnSignInLink()
2019-11-22 16:46:11 INFO  Report:11 - Entering method::clickOnElement()
2019-11-22 16:46:12 INFO  Report:11 - Exiting method::clickOnElement() with 'true"
2019-11-22 16:46:12 INFO  Report:11 - Exiting method::clickOnSignInLink() with 'true"
2019-11-22 16:46:12 INFO  Report:11 - Entering method::switchToSignInFrame()
2019-11-22 16:46:12 INFO  Report:11 - Entering method::SwitchToFrame()
2019-11-22 16:46:12 INFO  Report:11 - Exiting method::SwitchToFrame() with 'true"
2019-11-22 16:46:12 INFO  Report:11 - Exiting method::switchToSignInFrame() with 'true"
2019-11-22 16:46:12 INFO  Report:11 - Entering method::clickOnSignInButton()
2019-11-22 16:46:12 INFO  Report:11 - Entering method::waitForElementToBecomeVisible()
2019-11-22 16:46:13 INFO  Report:11 - Exiting method::waitForElementToBecomeVisible() with 'true"
2019-11-22 16:46:13 INFO  Report:11 - Entering method::clickOnElement()
2019-11-22 16:46:13 INFO  Report:11 - Exiting method::clickOnElement() with 'true"
2019-11-22 16:46:13 INFO  Report:11 - Exiting method::clickOnSignInButton() with 'true"
2019-11-22 16:46:13 INFO  Report:11 - Entering method::getError()
2019-11-22 16:46:13 INFO  Report:11 - Entering method::waitForElementToBecomeVisible()
2019-11-22 16:46:14 INFO  Report:11 - Exiting method::waitForElementToBecomeVisible() with 'true"
2019-11-22 16:46:14 INFO  Report:11 - Entering method::getText()
2019-11-22 16:46:14 INFO  Report:11 - Exiting method::getText() with 'There were errors in your submission
Your username is a required field
Your account password is a required field"
2019-11-22 16:46:14 INFO  Report:11 - Exiting method::getError() with 'There were errors in your submission
Your username is a required field
Your account password is a required field"
2019-11-22 16:46:14 INFO  Report:11 - Entering method::deleteCookies()
2019-11-22 16:46:18 INFO  Report:11 - Exiting method::deleteCookies() with 'true"
2019-11-22 16:46:18 INFO  Report:11 - Entering method::closeBrowser()
2019-11-22 16:46:20 INFO  Report:11 - Exiting method::closeBrowser() with 'true"
2019-11-22 16:46:20 INFO  Report:11 - Entering method::quitDriver()
2019-11-22 16:46:21 INFO  Report:11 - Exiting method::quitDriver() with 'true"
2019-11-22 16:46:21 INFO  Report:11 - -------testThatResultsAppearForAOneWayJourney-------
2019-11-22 16:46:26 INFO  Report:11 - -------testThatResultsAppearForAOneWayJourney-------
2019-11-22 16:46:26 INFO  Report:11 - Entering method::openUrl()
2019-11-22 16:46:34 INFO  Report:11 - Exiting method::openUrl() with 'true"
2019-11-22 16:46:34 INFO  Report:11 - Entering method::clickOneWayRadioButton()
2019-11-22 16:46:34 INFO  Report:11 - Entering method::clickOnElement()
2019-11-22 16:46:34 INFO  Report:11 - Exiting method::clickOnElement() with 'true"
2019-11-22 16:46:34 INFO  Report:11 - Exiting method::clickOneWayRadioButton() with 'true"
2019-11-22 16:46:34 INFO  Report:11 - Entering method::enterFromLocation()
